;code_aiot;x;y;code_epsg;nom_ets;num_dep;adresse_x;cd_insee;cd_postal;commune;code_naf;lib_naf;num_siret;cd_regime;lib_regime;seveso;lib_seveso;priorite_n;date_modif;derniere_i;url_fiche;rubrique;nom_etablissement;numero_siret;adresse_y;code_insee;code_departement;code_region;top25% prelevements;top25% rejets;top25% rejets atmo;top25% rejets aqueux;top25% rejets sol
11;0005100993;664542;6919693;2154;SI Group (ex ADDIVANT);60;Chemin du Trou Bleuet;60130;60840;Catenoy;20;Industrie chimique;79019750300028;A;Autorisation;1;Seveso seuil haut;1;2025-11-26;2025-03-31;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005100993;1434|1450|3410|4110|4130|4330|4331|4510|4511|4718|2915|2921|2260|2910|4730;SI GROUP FRANCE (FRAA) SAS;79019750300028;CHEMIN DU TROU BLEUET 60840 CATENOY;60130;60 ;32;False;False;False;False;False
12;0005101211;678323;6936622;2154;STORENGY;60;Hameau de Saint Maur;60281;60190;Gournay-sur-Aronde;52;Entreposage et services auxiliaires des transports;48765063200044;A;Autorisation;1;Seveso seuil haut;1;2025-12-02;2025-06-12;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005101211;3110|4718|2910|4331|2925|4722;STORENGY FRANCE;48765063200044;Hameau de Saint Maur 60190 GOURNAY-SUR-ARONDE;60281;60 ;32;False;False;False;False;False
13;0005101473;669256;6911756;2154;HUTTENES ALBERTUS FRANCE;60;ZI de Pont-Brenouille - BP 30309;60509;60723;Pont-Sainte-Maxence;20;Industrie chimique;62203967500047;A;Autorisation;1;Seveso seuil haut;1;2025-09-26;2025-06-26;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005101473;1450|3410|4110|4130|4511|4801|2515|2661|2662|1434|1436|2910|4330|4331|4510;HUTTENES ALBERTUS FRANCE;62203967500047;ZI de Pont-Brenouille, BP 30309 60723 PONT-SAINTE-MAXENCE;60509;60 ;32;False;False;False;False;False
14;0005101506;694596;6935346;2154;BOSTIK;60;Route de Bailly - BP 30009;60537;60771;Ribécourt-Dreslincourt;20;Industrie chimique;33211009700075;A;Autorisation;1;Seveso seuil haut;1;2025-11-26;2025-10-02;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005101506;1434|1436|1450|2660|3410|4001|4110|4130|4331|4511|4726|1510|2662|2915|2921|1434|1530|2910|2925|4120|4422|4440|4510;BOSTIK SA;33211009700075;Route de Bailly, BP 30009 60771 RIBECOURT-DRESLINCOURT;60537;60 ;32;False;False;False;False;False
15;0005101668;664024;6909487;2154;ARKEMA;60;ZI des Près Roseaux - BP  90013  - 60872 RIEUX CEDEX;60684;60870;Villers-Saint-Paul;20;Industrie chimique;31963279000899;A;Autorisation;1;Seveso seuil haut;1;2025-09-26;2025-02-20;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005101668;1434|1436|1450|2660|3410|4001|4110|4120|4130|4331|4510|4511|4726|2662|2915|2921|1185|1510|1630|2910|4120|4130|4140|4150;ARKEMA FRANCE;31963279000899;ZI des Près Roseaux, BP  90013  RIEUX CEDEX 60870 VILLERS-SAINT-PAUL;60684;60 ;32;False;False;False;False;False
16;0005101887;647439;6981992;2154;EUROLYSINE;80;60 RUE DE VAUX - CS 18018;80021;80000;Amiens;72;Recherche-développement scientifique;92884312700020;A;Autorisation;1;Seveso seuil haut;1;2025-12-02;2025-09-09;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005101887;1630|2170|3430|3450|3642|4735|2910|2921|1185|1510|2680|4110|4310|4510|4735;EUROLYSINE;92884312700020;Espace Industriel Nord, Rue de Vaux 80084 AMIENS;80021;80 ;32;True;True;False;False;True
17;0005101904;647621;6982400;2154;PROCTER et  GAMBLE;80;Z.I. Nord Rue André Durouchez - BP 90045;80021;80082;Amiens;70;"Activités des sièges sociaux ; conseil de gestion";54210610900060;A;Autorisation;1;Seveso seuil haut;1;2025-11-27;2025-05-26;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005101904;1434|1436|1630|2661|3410|4001|4130|4330|4510|4511|1510|1530|2662|2921|4331|1185|1185|1434|2661|2910|2925|4310;PROCTER & GAMBLE AMIENS;54210610900060;Z.I. Nord Rue André Durouchez, BP 90045 80082 AMIENS;80021;80 ;32;True;False;False;False;False
18;0005102362;693309;6963011;2154;AJINOMOTO FOODS EUROPE;80;48 RUE DE NESLE - BP 42;80542;80190;Mesnil-Saint-Nicaise;;;57223395500036;A;Autorisation;1;Seveso seuil haut;1;2025-11-29;2025-09-16;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005102362;1630|2170|3450|3642|4001|4130|4735|1510|2910|2171|2680|4441|4725|4741;AJINOMOTO FOODS EUROPE;57223395500036;48 RUE DE NESLE, BP 42 80190 MESNIL-SAINT-NICAISE;80542;80 ;32;True;True;False;False;False
19;0005102581;660298;6976950;2154;ROQUETTE  FRERES;80;avenue des lilas;80785;80800;Vecquemont;10;Industries alimentaires;35720005400074;A;Autorisation;1;Seveso seuil haut;1;2025-11-25;2025-10-13;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005102581;2160|3110|3642|4001|4120|4422|4511|1510|2921|1185|1630|2160|2171|4110|4510;ROQUETTE FRERES;35720005400074;avenue des lilas 80800 VECQUEMONT;80785;80 ;32;True;True;False;False;True
20;0005103993;726430;6956114;2154;ARF;02;Ancien site des Fours à Chaux de l'Aisne - Lieudit Les Terres de Montigny;02775;02800;Vendeuil;38;"Collecte, traitement et élimination des déchets ; récupération";32899936200010;A;Autorisation;1;Seveso seuil haut;1;2025-09-26;2025-03-21;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005103993;1434|2718|2770|2790|3520|3550|4001|4120|4511||1435;ACTIVITES DE RECYCLAGE ET DE FORMULATION - ARF;32899936200085;Ancien site des Fours à Chaux de l'Aisne, Lieudit Les Terres de Montigny 02800 VENDEUIL;02775;02 ;32;False;False;False;False;False
21;0005105788;699933;6922914;2154;WEYLCHEM LAMOTTE;60;Rue du Flottage - BP 1;60647;60350;Trosly-Breuil;20;Industrie chimique;48362308800026;A;Autorisation;1;Seveso seuil haut;1;2025-11-29;2025-10-16;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005105788;1434|1436|1450|1630|2750|3110|3410|3420|3450|3710|4001|4110|4120|4130|4140|4150|4330|4331|4420|4441|4510|4511|4610|4722|4733|1510|2915|2921|1530|2925|4120|4440|4620|4725|4735;WEYLCHEM LAMOTTE;48362308800042;Rue du Flottage, BP 1 60350 TROSLY-BREUIL;60647;60 ;32;True;True;True;True;False
22;0005105839;695550;6934161;2154;SYNTHOMER FRANCE;60;704 RUE PIERRE ET MARIE CURIE;60492;60170;RIBECOURT-DRESLINCOURT;20;Industrie chimique;44418777700057;A;Autorisation;1;Seveso seuil haut;1;2025-11-26;2025-11-10;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005105839;1434|2660|3410|4001|4120|4331|4421|4510|2662|1434|2910|4422|4440|4441|4511;SYNTHOMER FRANCE;44418777700057;704 rue Pierre et Marie Curie, BP 80229 60772 RIBECOURT-DRESLINCOURT;60537;60 ;32;False;False;False;False;False
23;0005200010;517967;6417953;2154;POLYREY S.A.S. (usine);24;700, route de Bergerac;24023;24150;Baneuil;22;Fabrication de produits en caoutchouc et en plastique;70980662400033;A;Autorisation;1;Seveso seuil haut;1;2025-10-26;2025-09-16;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200010;2770|2771|2790|2910|3410|3520|4130|4150|2410|2661|2910|2921|2940|4331|1185|1530|2714|2925;POLYREY;70980662400033;700, route de Bergerac 24150 BANEUIL;24023;24 ;75;True;True;False;False;False
24;0005200028;503540;6419014;2154;EURENCO SA;24;Boulevard Charles Garaud - B.P. 828;24037;24108;Bergerac;20;Industrie chimique;44920741400037;A;Autorisation;1;Seveso seuil haut;1;2025-10-26;2025-09-04;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200028;1434|1450|2718|2793|3460|4001|4210|4220|4330|2713|2910|2940|4331|2564|2714;EURENCO FRANCE SAS;44920741400037;Boulevard Charles Garaud, B.P. 828 24108 BERGERAC;24037;24 ;75;True;True;False;False;False
25;0005200249;422303;6431381;2154;FORESA FRANCE SAS;33;Avenue des Industries;33003;33440;Ambarès-et-Lagrave;20;Industrie chimique;38357389600032;A;Autorisation;1;Seveso seuil haut;1;2025-11-26;2025-11-19;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200249;1434|3410|4130|4722|2915|2921|2910|4510;FORESA FRANCE;38357389600032;Avenue des Industries 33440 AMBARES-ET-LAGRAVE;33003;33 ;75;False;False;False;False;False
26;0005200257;416583;6443968;2154;NOURYON PULP & PERFORMANCE CHEMICALS;33;Zone Industrielle du Bec d'Ambès - Route du Bec;33035;33810;Ambès;20;Industrie chimique;45420088200065;A;Autorisation;1;Seveso seuil haut;1;2025-11-26;2025-09-17;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200257;2910|3420|4440|4441|2515|1630;NOURYON PULP AND PERFORMANCE CHEMICALS SAS;45420088200065;Zone Industrielle du Bec d'Ambès, Route du Bec 33810 AMBES;33004;33 ;75;True;True;False;False;False
27;0005200259;420331;6439838;2154;YARA FRANCE;33;Chemin de Piétru;33004;33810;Ambès;08;Autres industries extractives;62204242200866;A;Autorisation;1;Seveso seuil haut;1;2025-11-19;2025-09-12;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200259;3110|3420|3430|4130|4701|4702|4703|4735||1185|1630|2515|2921|4510|4718;YARA FRANCE;62204242200866;Chemin de Piétru 33810 AMBES;33004;33 ;75;False;False;True;False;False
28;0005200346;421914;6428452;2154;CEREXAGRI SA;33;14, Avenue  Manon Cormier;33032;33530;Bassens;20;Industrie chimique;56980498200357;A;Autorisation;1;Seveso seuil haut;1;2025-11-05;2025-07-30;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200346;3340|3440|4110|4120|4130|4140|4150|4510|4511|1510|2515|2910|4120|4130|4331|4734;;;;;;;False;False;False;False;False
29;0005200351;421949;6430571;2154;SIMOREP & CIE- CS MICHELIN;33;Rue Edouard Michelin;33032;33530;Bassens;20;Industrie chimique;32852574600017;A;Autorisation;1;Seveso seuil haut;1;2025-11-19;2025-10-10;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005200351;1414|1434|3110|3410|4110|4120|4130|4330|4331|4431|4510|4511|4718|4801|2662|2921|1185|1185|1630|2515|2925;SIMOREP ET CIE;32852574600017;Rue Edouard Michelin 33530 BASSENS;33032;33 ;75;True;True;True;False;False
30;0005201496;366348;6316277;2154;FIRMENICH Productions SAS;40;766, route Roger Firmenich - BP n°23;40075;40260;Castets;20;Industrie chimique;40240617700020;A;Autorisation;1;Seveso seuil haut;1;2025-11-28;2025-07-31;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201496;3410|4001|4120|4130|4422|4511|4735|2915|2921|4331|2910|4510|4722;FIRMENICH PRODUCTIONS;40240617700020;766, route Roger Firmenich, BP n°23 40260 CASTETS;40075;40 ;75;False;False;False;False;False
31;0005201506;366824;6316348;2154;LES DERIVES RESINIQUES ET TERPENIQUES;40;1200 RUE ANDRE DUPUY;40075;40260;Castets;84;"Administration publique et défense ; sécurité sociale obligatoire";21400326100150;A;Autorisation;1;Seveso seuil haut;1;2025-11-26;2025-11-07;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201506;1434|1450|3410|3420|4110|4120|4130|4331|4422|4510|4511|4716|2921|1436|1630|2910|4140|4440|4718|4722|4736;LES DERIVES RESINIQUES ET TERPENIQUES;98552015400040;1220, route André Dupuy 40260 CASTETS;40075;40 ;75;False;True;False;True;False
32;0005201635;386197;6312468;2154;MLPC InternationalSA;40;Route de Pontonx (géographique) 40400 LE - 209 avenue Charles Despiau (postale);40151;40400;Lesgor;20;Industrie chimique;98612018600028;A;Autorisation;1;Seveso seuil haut;1;2025-11-16;2025-09-16;https://www.georisques.gouv.fr/risques/installations/donnees/details/0005201635;3410|3420|3440|4110|4120|4130|4441|4510|4733|4331|1185|1510|1630|2910|4511|4738;MLPC INTERNATIONAL;98612018600028;Route de Pontonx (géographique) 40400 LE, 209 avenue Charles Despiau (postale) 40400 LESGOR;40151;40 ;75;True;True;False;False;False
